DateTime,AddedIPs,RemovedIPs
1558089722,3,1
1558090923,4,0
1558092122,4,0
1558093476,1181,288
1558096923,1,0
1558099323,2,0
1558101722,2,0
1558102323,2,0
1558102923,4,0
1558104123,3,0
1558104723,2,0
1558105323,1,0
1558106523,4,0
1558107722,1,0
1558108322,3,0
1558108923,2,0
1558110123,13,0
1558111323,10,1
1558111923,1,0
1558112524,3,0
1558113724,4,0
1558114923,4,0
1558116123,6,0
1558117923,0,1
1558118523,7,0
1558119722,2,0
1558120322,1,0
1558120923,1,0
1558121523,2,0
1558122123,11,0
1558123323,5,0
1558125122,1,0
1558125722,3,0
1558126322,2,0
1558127523,2,0
1558128741,7,0
1558129323,18,0
1558129924,4,0
1558130523,3,0
1558131723,9,0
1558132322,2,0
1558134123,3,0
1558134723,4,0
1558135322,1,0
1558137724,16,1
1558141922,2,0
1558143722,3,0
1558144922,4,0
1558146123,11,0
1558149122,10,0
1558150322,14,0
1558152123,11,0
1558152723,1,0
1558153322,2,0
1558155123,24,0
1558156323,34,0
1558158123,6,0
1558159322,4,0
1558160522,3,0
1558161124,9,0
1558161722,1,0
1558163522,1,0
1558164722,8,0
1558167723,3,0
1558168323,2,0
1558168922,2,0
1558169523,1,0
1558170122,9,0
1558172523,2,0
1558174922,3,0
1558176722,2,0
1558177322,6,0
1558179122,10,0
1558179723,5,0
1558180613,1057,274
1558180922,1,0
1558182122,5,0
1558183323,3,0
1558183922,6,0
1558185722,2,0
1558186323,2,0
1558186922,7,0
1558188123,6,0
1558188723,4,0
1558189323,1,0
1558189922,3,0
1558190522,2,0
1558191122,1,0
1558191724,13,0
1558192922,2,1
1558194122,1,0
1558194723,2,0
1558195322,10,0
1558196522,2,0
1558197722,6,0
1558198923,4,0
1558200122,1,0
1558201322,3,0
1558203122,3,0
1558203722,1,0
1558204923,5,0
1558207322,5,0
1558208523,36,0
1558209722,4,0
1558212122,1,0
1558212723,5,0
1558213323,1,0
1558213922,9,0
1558214522,3,0
1558215123,2,0
1558216922,2,0
1558217522,2,0
1558220522,2,1
1558221723,1,0
1558222322,1,0
1558223522,1,0
1558224124,7,0
1558225322,9,0
1558226523,3,0
1558227123,1,0
1558227723,3,0
1558228323,11,0
1558228923,3,0
1558230123,3,0
1558230722,1,0
1558231323,2,0
1558232523,2,0
1558233722,9,0
1558234322,25,0
1558234923,4,0
1558237322,3,0
1558237923,1,0
1558238522,6,0
1558239722,3,0
1558240323,1,0
1558243323,13,0
1558244522,4,0
1558245722,6,0
1558246922,1,0
1558248123,1,0
1558248722,1,0
1558249322,1,0
1558250522,1,1
1558251722,4,0
1558252922,31,0
1558253522,1,0
1558254722,2,0
1558255322,1,0
1558255923,4,0
1558256523,7,0
1558258322,7,0
1558258922,2,0
1558260122,1,0
1558261322,7,0
1558261922,1,0
1558262522,1,0
1558263122,3,0
1558263722,5,0
1558264322,1,0
1558264922,5,0
1558265523,1,0
1558266122,1,0
1558267322,6,0
1558267733,1076,284
1558268522,5,0
1558269723,3,0
1558270922,1,0
1558272122,2,0
1558273323,1,0
1558274523,1,0
1558275723,19,0
1558276322,1,0
1558276922,5,0
1558278123,5,0
1558278722,1,0
1558279322,3,0
1558281723,12,0
1558282922,1,0
1558284122,6,1
1558284722,1,0
1558285322,5,0
1558285922,4,0
1558286522,7,0
1558287122,1,0
1558287723,4,0
1558288922,1,0
1558290123,1,0
1558290722,1,0
1558291322,30,0
1558293122,2,0
1558293723,3,0
1558294322,1,0
1558294923,5,0
1558296123,1,0
1558296723,4,0
1558299122,5,0
1558300322,9,0
1558302122,6,0
1558303325,2,0
1558303923,1,0
1558305722,1,0
1558306922,2,0
1558308722,1,0
1558309322,3,0
1558309922,3,0
1558310524,4,0
1558311122,1,0
1558311722,1,0
1558312322,1,0
1558312923,4,0
1558314122,3,0
1558315322,4,0
1558316523,1,0
1558317723,18,0
1558318323,3,0
1558318923,6,0
1558320122,3,0
1558320722,3,0
1558321322,12,0
1558321922,2,0
1558322523,5,0
1558323722,8,0
1558324922,2,0
1558326122,1,0
1558327323,9,1
1558328522,3,0
1558329722,7,0
1558330922,19,0
1558332122,15,0
1558333322,3,0
1558334522,1,0
1558335722,0,1
1558336322,1,0
1558336922,3,0
1558338122,1,0
1558338722,5,0
1558339323,1,0
1558339922,8,0
1558340522,1,0
1558341122,2,0
1558341722,4,0
1558342922,4,0
1558343523,2,0
1558344722,5,0
1558345322,14,0
1558347723,3,0
1558348322,6,0
1558348922,3,0
1558350122,2,0
1558351322,3,0
1558352522,3,0
1558353122,1,0
1558353723,1,0
1558354863,1068,223
1558354923,1,0
1558356122,1,0
1558357322,4,0
1558358522,5,0
1558359722,1,0
1558360922,1,0
1558362122,8,0
1558363322,2,0
1558364523,23,0
1558365722,1,0
1558366922,4,0
1558367523,6,0
1558368122,1,0
1558369322,1,0
1558369922,3,0
1558370522,2,0
1558371723,7,0
1558372922,6,0
1558374122,12,0
1558375322,4,0
1558376522,1,0
1558377723,7,0
1558378923,20,0
1558381324,2,0
1558381923,1,0
1558382522,3,0
1558383723,3,0
1558384922,3,0
1558386122,1,0
1558387323,5,0
1558388522,1,0
1558389722,7,0
1558390922,2,0
1558392123,2,0
1558393322,3,0
1558394522,5,0
1558396923,1,0
1558398123,5,0
1558399322,2,0
1558400523,2,0
1558402922,5,0
1558403524,1,0
1558404122,2,0
1558405322,1,0
1558406522,3,0
1558407723,6,0
1558408322,1,0
1558408923,2,0
1558410122,4,0
1558411323,2,1
1558411922,3,0
1558412522,2,0
1558413122,3,0
1558414922,1,0
1558416123,2,0
1558417323,4,0
1558417922,1,0
1558418522,1,0
1558419123,1,0
1558420922,1,0
1558422123,1,0
1558422722,12,0
1558423323,24,0
1558423923,4,0
1558424523,16,1
1558425122,2,0
1558425722,3,0
1558426323,2,0
1558426922,13,0
1558427522,5,1
1558428122,2,0
1558429322,3,0
1558430523,1,0
1558431722,4,0
1558432922,12,0
1558434122,1,0
1558435323,1,1
1558435923,1,0
1558437722,2,0
1558440122,2,0
1558440723,3,0
1558441323,1,0
1558441956,1542,357
1558442523,7,0
1558443722,2,0
1558444322,6,0
1558444923,2,0
1558445522,3,0
1558446122,2,0
1558447322,14,0
1558447922,2,0
1558450923,29,0
1558452122,7,1
1558453323,4,0
1558454523,2,0
1558455723,1,0
1558456922,2,1
1558458123,5,0
1558459323,2,0
1558460522,4,0
1558461122,1,0
1558461722,2,0
1558462323,3,0
1558462923,1,0
1558464122,6,0
1558465323,1,0
1558466522,1,0
1558467723,10,0
1558468322,2,0
1558468922,3,0
1558469522,2,0
1558470123,2,0
1558470722,2,0
1558472523,1,0
1558473723,9,1
1558474323,15,0
1558474922,2,0
1558475523,1,0
1558476123,4,0
1558477322,2,0
1558479722,3,0
1558480922,1,0
1558481522,1,0
1558483324,7,0
1558483922,2,0
1558484522,1,0
1558485722,3,0
1558486323,14,0
1558486922,3,0
1558487522,18,0
1558488122,1,0
1558490522,2,0
1558491722,1,0
1558492322,1,0
1558492923,1,0
1558494122,9,0
1558495322,4,0
1558495923,2,0
1558496523,2,0
1558497722,1,0
1558500122,17,0
1558500723,1,0
1558501322,1,2
1558502522,1,0
1558503722,3,0
1558504922,9,0
1558505522,3,0
1558506122,1,0
1558507922,11,1
1558508522,1,0
1558509123,2,0
1558509722,2,0
1558510323,3,0
1558510922,15,0
1558511522,2,0
1558512122,1,0
1558513322,27,0
1558515122,1,0
1558516923,1,0
1558518122,2,0
1558519323,2,0
1558520522,17,0
1558521722,2,0
1558524122,1,0
1558525322,1,0
1558525923,2,0
1558529075,1479,206
1558530122,3,0
1558530723,10,0
1558531323,2,0
1558534322,1,0
1558534922,2,0
1558536123,3,0
1558537323,2,0
1558537922,4,0
1558538522,2,0
1558540922,5,0
1558541522,10,0
1558542122,10,0
1558542722,10,0
1558543323,7,0
1558544522,16,0
1558545123,5,0
1558545722,4,0
1558546923,2,0
1558548723,1,0
1558549922,9,0
1558551122,3,0
1558552922,5,0
1558554122,2,0
1558554722,1,0
1558556523,3,0
1558558922,3,1
1558559522,19,0
1558560122,26,0
1558561322,18,0
1558562522,2,0
1558563122,2,0
