DateTime,AddedIPs,RemovedIPs
1558180922,80,80
1558181523,80,80
1558182122,80,80
1558182723,80,80
1558183323,80,80
1558183922,80,80
1558184522,80,80
1558185123,80,80
1558185722,80,80
1558186323,80,80
1558186922,80,80
1558187522,80,80
1558188123,80,80
1558188723,80,80
1558189323,80,80
1558189922,80,80
1558190522,80,80
1558191122,80,80
1558191724,80,80
1558192922,80,80
1558193523,80,80
1558194122,80,80
1558194723,80,80
1558195322,80,80
1558196522,80,80
1558197722,80,80
1558198923,80,80
1558200122,80,80
1558201322,80,80
1558202522,79,79
1558203122,80,80
1558203722,80,80
1558204923,80,80
1558206123,80,80
1558207322,80,80
1558208523,78,78
1558209722,80,80
1558210323,80,80
1558210923,80,80
1558212122,80,80
1558212723,80,80
1558213323,80,80
1558213922,80,80
1558214522,80,80
1558215123,80,80
1558215723,80,80
1558216922,80,80
1558217522,80,80
1558218122,80,80
1558218722,80,80
1558219322,80,80
1558219922,80,80
1558220522,80,80
1558221723,80,80
1558222322,80,80
1558222923,80,80
1558223522,80,80
1558224124,80,80
1558225322,80,80
1558226523,80,80
1558227123,80,80
1558227723,77,77
1558228323,80,80
1558228923,80,80
1558230123,80,80
1558230722,80,80
1558231323,80,80
1558232523,80,80
1558233722,80,80
1558234322,80,80
1558234923,80,80
1558235523,80,80
1558236123,80,80
1558237322,80,80
1558237923,80,80
1558238522,80,80
1558239722,73,73
1558240323,80,80
1558240922,80,80
1558241522,80,80
1558242122,80,80
1558243323,80,80
1558244522,80,80
1558245722,80,80
1558246922,80,80
1558248123,80,80
1558249322,80,80
1558250522,80,80
1558251722,80,80
1558252322,80,80
1558252922,80,80
1558253522,80,80
1558254122,80,80
1558254722,80,80
1558255322,80,80
1558255923,80,80
1558256523,80,80
1558257722,80,80
1558258322,80,80
1558258922,80,80
1558259522,80,80
1558260122,80,80
1558261322,80,80
1558261922,80,80
1558262522,80,80
1558263122,80,80
1558263722,80,80
1558264322,80,80
1558264922,80,80
1558265523,80,80
1558266122,80,80
1558267322,80,80
1558267923,80,80
1558268522,80,80
1558269122,80,80
1558269723,80,80
1558270922,78,78
1558271523,80,80
1558272122,80,80
1558273323,80,80
1558274523,80,80
1558275723,80,80
1558276322,80,80
1558276922,80,80
1558278123,80,80
1558278722,80,80
1558279322,80,80
1558280522,80,80
1558281123,80,80
1558281723,80,80
1558282922,80,80
1558284122,80,80
1558284722,80,80
1558285322,80,80
1558285922,80,80
1558286522,80,80
1558287122,80,80
1558287723,80,80
1558288922,80,80
1558289522,80,80
